CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
Aruba,ABW,,,2020-06-01,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Afghanistan,AFG,,,2020-06-01,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
Angola,AGO,,,2020-06-01,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0
Anguilla,AIA,,,2020-06-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,,,2.0,1.0,2.0,,,
Albania,ALB,,,2020-06-01,2.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,2.0,382052000.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Andorra,AND,,,2020-06-01,3.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0
United Arab Emirates,ARE,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Argentina,ARG,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Australia,AUS,,,2020-06-01,2.0,1.0,2.0,3.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,6123664.0,2.0,3.0,2.0,0.0,0.0,0.0
Austria,AUT,,,2020-06-01,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0
Azerbaijan,AZE,,,2020-06-01,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
Burundi,BDI,,,2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Belgium,BEL,,,2020-06-01,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Benin,BEN,,,2020-06-01,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
Burkina Faso,BFA,,,2020-06-01,0.0,0.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Bangladesh,BGD,,,2020-06-01,3.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0
Bulgaria,BGR,,,2020-06-01,2.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0
Bahrain,BHR,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Bosnia and Herzegovina,BIH,,,2020-06-01,3.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0
Belarus,BLR,,,2020-06-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0
Belize,BLZ,,,2020-06-01,3.0,2.0,2.0,4.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Bermuda,BMU,,,2020-06-01,3.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0
Bolivia,BOL,,,2020-06-01,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Brazil,BRA,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0
Barbados,BRB,,,2020-06-01,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Brunei,BRN,,,2020-06-01,3.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0
Bhutan,BTN,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0
Botswana,BWA,,,2020-06-01,3.0,1.0,1.0,3.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Central African Republic,CAF,,,2020-06-01,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Canada,CAN,,,2020-06-01,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,1.0,46000000.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0
