FIPS,Name,State
ABW_nan,Aruba,
AFG_nan,Afghanistan,
AGO_nan,Angola,
AIA_nan,Anguilla,
ALB_nan,Albania,
AND_nan,Andorra,
ARE_nan,United Arab Emirates,
ARG_nan,Argentina,
AUS_nan,Australia,
AUT_nan,Austria,
AZE_nan,Azerbaijan,
BDI_nan,Burundi,
BEL_nan,Belgium,
BEN_nan,Benin,
BFA_nan,Burkina Faso,
BGD_nan,Bangladesh,
BGR_nan,Bulgaria,
BHR_nan,Bahrain,
BIH_nan,Bosnia and Herzegovina,
BLR_nan,Belarus,
BLZ_nan,Belize,
BMU_nan,Bermuda,
BOL_nan,Bolivia,
BRA_nan,Brazil,
BRB_nan,Barbados,
BRN_nan,Brunei,
BTN_nan,Bhutan,
BWA_nan,Botswana,
CAF_nan,Central African Republic,
CAN_nan,Canada,
CHE_nan,Switzerland,
CHL_nan,Chile,
CHN_nan,China,
CIV_nan,Cote d'Ivoire,
CMR_nan,Cameroon,
COD_nan,Democratic Republic of Congo,
COG_nan,Congo,
COL_nan,Colombia,
COM_nan,Comoros,
CPV_nan,Cape Verde,
CRI_nan,Costa Rica,
CUB_nan,Cuba,
CYM_nan,Cayman Islands,
CYP_nan,Cyprus,
CZE_nan,Czech Republic,
DEU_nan,Germany,
DJI_nan,Djibouti,
DMA_nan,Dominica,
DNK_nan,Denmark,
DOM_nan,Dominican Republic,
DZA_nan,Algeria,
ECU_nan,Ecuador,
EGY_nan,Egypt,
ERI_nan,Eritrea,
ESP_nan,Spain,
EST_nan,Estonia,
ETH_nan,Ethiopia,
FIN_nan,Finland,
FJI_nan,Fiji,
FLK_nan,Falkland Islands,
FRA_nan,France,
GAB_nan,Gabon,
GBR_nan,United Kingdom,
GBR_UK_ENG,United Kingdom,UK_ENG
GBR_UK_NIR,United Kingdom,UK_NIR
GBR_UK_SCO,United Kingdom,UK_SCO
GBR_UK_WAL,United Kingdom,UK_WAL
GEO_nan,Georgia,
GHA_nan,Ghana,
GIB_nan,Gibraltar,
GIN_nan,Guinea,
GMB_nan,Gambia,
GRC_nan,Greece,
GRL_nan,Greenland,
GTM_nan,Guatemala,
GUM_nan,Guam,
GUY_nan,Guyana,
HKG_nan,Hong Kong,
HND_nan,Honduras,
HRV_nan,Croatia,
HTI_nan,Haiti,
HUN_nan,Hungary,
IDN_nan,Indonesia,
IND_nan,India,
IRL_nan,Ireland,
IRN_nan,Iran,
IRQ_nan,Iraq,
ISL_nan,Iceland,
ISR_nan,Israel,
ITA_nan,Italy,
JAM_nan,Jamaica,
JOR_nan,Jordan,
JPN_nan,Japan,
KAZ_nan,Kazakhstan,
KEN_nan,Kenya,
KGZ_nan,Kyrgyz Republic,
KHM_nan,Cambodia,
KOR_nan,South Korea,
KWT_nan,Kuwait,
LAO_nan,Laos,
LBN_nan,Lebanon,
LBR_nan,Liberia,
LBY_nan,Libya,
LKA_nan,Sri Lanka,
LSO_nan,Lesotho,
LTU_nan,Lithuania,
LUX_nan,Luxembourg,
LVA_nan,Latvia,
MAC_nan,Macao,
MAR_nan,Morocco,
MDA_nan,Moldova,
MDG_nan,Madagascar,
MEX_nan,Mexico,
MLI_nan,Mali,
MMR_nan,Myanmar,
MNG_nan,Mongolia,
MOZ_nan,Mozambique,
MRT_nan,Mauritania,
MSR_nan,Montserrat,
MUS_nan,Mauritius,
MWI_nan,Malawi,
MYS_nan,Malaysia,
NAM_nan,Namibia,
NER_nan,Niger,
NGA_nan,Nigeria,
NIC_nan,Nicaragua,
NLD_nan,Netherlands,
NOR_nan,Norway,
NPL_nan,Nepal,
NZL_nan,New Zealand,
OMN_nan,Oman,
PAK_nan,Pakistan,
PAN_nan,Panama,
PCN_nan,Pitcairn Islands,
PER_nan,Peru,
PHL_nan,Philippines,
PNG_nan,Papua New Guinea,
POL_nan,Poland,
PRI_nan,Puerto Rico,
